1777	Britannia vs. Hitler Look at the images of these twofollowing people. What do you think?	イギリス 対 ヒトラー 次 の 2人 の 人々 の 画像 を 見 て くださ い 。	[1, 0, 0]	NOT
4028	Sox-Do you have formal training on corporate law or are you just being a dick. Seems like you're pretty much the latter based on these other posts.	Sox - あなた は コーポレート 法 上 の 正式 な トレーニング を 持 っ て い る か 、 あなた は ちょうど ディック で あ る か 。	[0, 0, 0]	NOT
3872	REDIRECT Talk:57th Directors Guild of America Awards	リダイレクト トーク : 57 th Directors Guild of America Awards	[1, 0, 0]	NOT
4013	You are so stupid,aren't you? I just put a thing that is true as Ferrari's Felipe Massa is injured, or is just his imagination?	私 は ちょうど フェラーリ の フェリペ ・ マッサ が 負傷 し た と し て 真実 で あ る もの を 置 く 、 また は 単に 彼 の 想像 力 で す か ?	[0, 1, 0]	NOT
5201	Devanampriya is correct about Narain's view on Mathura, but to	デヴァンプリヤ は 、 マシューラ に 対 する ナ レーン の 見解 に つ い て 正し い が 、	[0, 0, 0]	NOT
9222	Regarding what Tempodivalse stated above, I have reverted him. And don't overlook the Incomplete citations section below on your talk page.	上記 の テンポ ディバルス に つ い て 、 私 は 彼 を 返 し ま し た . そして 、 あなた の トーク ページ の 下 の 不 完全 な 引用 セクション を 見逃 す こと は あ り ま せ ん .	[0, 0, 0]	NOT
5732	Sorry I didnt Know im just new i better read the rules properly	す み ま せ ん 私 は 知 ら な かっ た Im ちょうど 新し い 私 は より 良 い ルール を 正し く 読 み ま す	[0, 0, 0]	NOT
2557	Sorry, Bruno's discography wikipedia page fooled me.	ごめん なさ い 、 ブルーノ の ディスコ グラフィー の ウィキペディア ページ は 私 を 愚かし ま し た 。	[0, 0, 0]	NOT
4367	consider creating an account for yourself so you can avoid further irrelevant notices.''	他 の 無 関係 な 通知 を 避け る ため 、 アカウント を 作成 する こと を 検討 し て くださ い 。	[0, 0, 0]	NOT
5522	There is no reliable source providing claims about telepathy in this article. If you are going to dispute anything now, then lets here it.	この 記事 で は 、 テレパシー に 関 する 主張 を 提供 する 信頼 でき る ソース は あ り ま せ ん . あなた は 今 何 か を 論争 し よう と し て い る 場合 , ここ で それ を 聞 か せ .	[0, 1, 0]	NOT
8647	Its not quite like that - ISIL adopted an existing flag in use by others and then got famous.	それ は そう で は あ り ま せ ん - ISIL は 、 他 の 人々 に よ っ て 使用 さ れ て い る 既存 の 旗 を 採用 し 、 その 後 有名 に な り ま し た 。	[0, 0, 0]	NOT
6063	Please see WP:ATT and [WP:NOR]]. Any questions let me know.	WP: ATT と [ WP: NOR ] ] を 参照 し て くださ い 。	[0, 0, 0]	NOT
4200	that appear in many Tang readings in the Unihan database	ユニハン の データベース の 多く の 唐 の 読み取り に 表示 さ れ ま す	[0, 0, 0]	NOT
8612	The lang/dialect question is a problem all over the world, not just in India. When that research is out, we can cite it as well. —	ラング / ダイアレクト の 問題 は 、 インド だけ で な く 、 世界 中 で 問題 で す 。	[0, 0, 0]	NOT
3468	I am the language lead for Tamil. I have already been active in Tamil Wikipedia since 2010. I do/will provide my service.	私 は 2010 年 から タミル ウィキペディア で 活動 し て お り 、 私 の サービス を 提供 し ま す 。	[0, 0, 0]	NOT
4876	lol Rita Guerra is a prominent person? this must be some kind of joke	笑 リタ ・ グア は 著名 な 人 で す か ? これ は ジョーク の 一種 で あ る 必要 が あ り ま す	[0, 0, 0]	NOT
7198	and Wikipedia:Vandalism in progress/Willy on Wheels	Wikipedia : Vandalism in progress / ウィリー ・ オン ・ ホイール ズ	[0, 0, 0]	NOT
9746	But what with banning me from Evertype talk? It is permanent or temporary? I ask to make sure that I don't break any rules.	しかし 、 Evertype の トーク から 私 を 禁止 する こと は 何 で す か ? それ は 恒久 的 また は 一時 的 で す か ? 私 は ルール を 破 ら な い こと を 確認 し て くださ い 。	[0, 0, 0]	NOT
